URL,Version,Status,OIDs,Name,Title,Description,Used
http://dips.no/fhir/RetinaIntegration/CodeSystem/retina-ai-gradability-cs,0.9.1,draft,,RetinaAIGradabilityCodeSystem,Retina AI Gradability Codes,"A set of codes to indicate whether diagnostic data is suitable for automated AI grading.","ValueSet/retina-ai-gradability-vs"
http://dips.no/fhir/RetinaIntegration/CodeSystem/retina-caution-cs,0.9.1,draft,,RetinaCautionCodeSystem,Retina Caution Codes,"Cautions to consider when grading examinations (5000-series).","ValueSet/retina-caution-vs"
http://dips.no/fhir/RetinaIntegration/CodeSystem/retina-conclusion-code-cs,0.9.1,draft,,RetinaConclusionCodeSystem,Retina Conclusion Codes,"Codes for the current or final conclusion of the grading process (1000-series).","ValueSet/retina-append-ai-conclusion-vs,ValueSet/retina-conclusion-code-vs"
http://dips.no/fhir/RetinaIntegration/CodeSystem/retina-image-quality-cs,0.9.1,draft,,RetinaImageQualityCodeSystem,Retina Image Quality Codes,"Image quality as assessed by AI solution (2000-series).","ValueSet/retina-image-quality-vs"
http://dips.no/fhir/RetinaIntegration/CodeSystem/retina-image-view-cs,0.9.1,draft,,RetinaImageViewCodeSystem,Retina Image View Codes,"Codes describing the centering used when capturing retinal images (6000-series).","ValueSet/retina-image-view-vs"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/retina-body-site-vs"
